ticker,company,date,quarter,year,document_sentiment,document_sentiment_score,document_confidence,document_uncertainty_score,word_count
AAPL,Apple Inc.,2015-10-27,Q4,2015,positive,0.0401458740234375,0.511322021484375,0.02877697841726618,417
AAPL,Apple Inc.,2016-01-26,Q1,2016,negative,-0.867523193359375,0.91943359375,0.031830238726790444,377
AAPL,Apple Inc.,2016-04-26,Q2,2016,negative,-0.0023956298828125,0.4916534423828125,0.048,500
AAPL,Apple Inc.,2021-01-27,Q1,2021,negative,-0.83251953125,0.91015625,0.031413612565445025,382
AAPL,Apple Inc.,2022-10-27,Q4,2022,positive,0.01641082763671875,0.495880126953125,0.05714285714285715,420
AAPL,Apple Inc.,2023-11-02,Q4,2023,neutral,0.1639404296875,0.63525390625,0.03692307692307692,325
AAPL,Apple Inc.,2024-02-01,Q1,2024,negative,-0.854248046875,0.9208984375,0.031999999999999994,375
AAPL,Apple Inc.,2024-05-02,Q2,2024,positive,0.035675048828125,0.499267578125,0.07672634271099743,391
AAPL,Apple Inc.,2024-08-01,Q3,2024,negative,-0.8057861328125,0.89794921875,0.03314917127071823,362
AAPL,Apple Inc.,2024-10-31,Q4,2024,positive,0.0500335693359375,0.5137939453125,0.029999999999999995,400
AAPL,Apple Inc.,2025-01-30,Q1,2025,negative,-0.6510009765625,0.82080078125,0.03614457831325301,332
AAPL,Apple Inc.,2025-05-01,Q2,2025,negative,-0.638671875,0.81494140625,0.08746355685131194,343
AAPL,Apple Inc.,2025-07-31,Q3,2025,positive,0.094970703125,0.5419921875,0.05750798722044728,313
AAPL,Apple Inc.,2025-10-30,Q4,2025,positive,0.0681610107421875,0.50634765625,0.02877697841726618,417
AAPL,Apple Inc.,2026-01-29,Q1,2026,negative,-0.82281494140625,0.90576171875,0.034985422740524776,343
AAPL,Apple Inc.,2026-04-30,Q2,2026,negative,-0.8468017578125,0.91748046875,0.078125,384
AAPL,Apple Inc.,2026-07-30,Q3,2026,negative,-0.44970703125,0.7197265625,0.05471124620060789,329
