ticker,company,date,quarter,year,document_sentiment,document_sentiment_score,document_confidence,document_uncertainty_score,word_count
MSFT,MICROSOFT CORP,2020-09-21,Q2,2020,positive,0.46712493896484375,0.7252197265625,0.011246485473289596,1067
MSFT,MICROSOFT CORP,2020-10-27,Q3,2020,negative,-0.5553690592447916,0.7687174479166666,0.020583190394511144,583
MSFT,MICROSOFT CORP,2021-01-26,Q4,2020,negative,-0.7379150390625,0.8626302083333334,0.00983606557377049,610
MSFT,MICROSOFT CORP,2021-04-12,Q1,2021,positive,0.13116455078125,0.555511474609375,0.021486123545210383,1117
MSFT,MICROSOFT CORP,2021-07-27,Q2,2021,negative,-0.6935221354166666,0.8312174479166666,0.007863695937090432,763
MSFT,MICROSOFT CORP,2021-10-26,Q3,2021,positive,0.00830078125,0.492919921875,0.0,223
MSFT,MICROSOFT CORP,2022-01-18,Q4,2021,positive,0.2177734375,0.6041259765625,0.02112676056338028,1136
MSFT,MICROSOFT CORP,2022-06-02,Q1,2022,positive,0.837554931640625,0.861328125,0.26373626373626374,273
MSFT,MICROSOFT CORP,2022-07-26,Q2,2022,negative,-0.7931722005208333,0.8541666666666666,0.014527845036319612,826
MSFT,MICROSOFT CORP,2022-10-25,Q3,2022,neutral,-0.23419189453125,0.55419921875,0.02816901408450704,213
MSFT,MICROSOFT CORP,2023-01-24,Q4,2022,neutral,-0.007568359375,0.640625,0.0,230
MSFT,MICROSOFT CORP,2023-04-25,Q1,2023,negative,-0.23546346028645831,0.6098429361979166,0.022556390977443608,798
MSFT,MICROSOFT CORP,2023-07-25,Q2,2023,negative,-0.75506591796875,0.8597005208333334,0.0,623
MSFT,MICROSOFT CORP,2023-10-24,Q3,2023,negative,-0.21925862630208331,0.601806640625,0.023376623376623374,770
MSFT,MICROSOFT CORP,2024-01-30,Q4,2023,negative,-0.7296142578125,0.85693359375,0.02643171806167401,227
MSFT,MICROSOFT CORP,2024-04-25,Q1,2024,negative,-0.3147532145182292,0.6500244140625,0.02493074792243767,722
MSFT,MICROSOFT CORP,2024-08-21,Q2,2024,positive,0.5343589782714844,0.668975830078125,0.038834951456310676,2472
MSFT,MICROSOFT CORP,2024-10-30,Q3,2024,negative,-0.30975341796874994,0.6471048990885416,0.024556616643929056,733
MSFT,MICROSOFT CORP,2025-01-29,Q4,2024,positive,0.003789265950520815,0.4925435384114583,0.025787965616045842,698
MSFT,MICROSOFT CORP,2025-04-30,Q1,2025,negative,-0.15575154622395831,0.56939697265625,0.023841059602649,755
MSFT,MICROSOFT CORP,2025-07-30,Q2,2025,negative,-0.31281026204427087,0.6481831868489584,0.01530612244897959,784
MSFT,MICROSOFT CORP,2025-10-29,Q3,2025,negative,-0.913116455078125,0.94970703125,0.0,257
MSFT,MICROSOFT CORP,2026-01-28,Q4,2025,negative,-0.910675048828125,0.9482421875,0.0,256
MSFT,MICROSOFT CORP,2026-04-29,Q1,2026,negative,-0.910247802734375,0.94775390625,0.0,238
MSFT,MICROSOFT CORP,2026-09-02,Q2,2026,positive,0.6734267014723558,0.7493333082932693,0.035986913849509264,3668
